player_name,position,rank_pos,model_score,tier,nfl_team,source_url
Ashton Jeanty,RB,1,100.0,Generational,LV,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Omarion Hampton,RB,2,87.5,Tier1,LAC,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Kaleb Johnson,RB,3,75.0,Tier1,PIT,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
TreVeyon Henderson,RB,4,62.5,Tier2,NE,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
RJ Harvey,RB,5,50.0,Tier2,DEN,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Quinshon Judkins,RB,6,37.5,Tier2,CLE,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Cam Skattebo,RB,7,25.0,Tier3,NYG,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Travis Hunter,WR,1,100.0,Generational,JAX,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Tetairoa McMillan,WR,2,88.9,Tier1,CAR,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Matthew Golden,WR,3,77.8,Tier1,GB,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Jayden Higgins,WR,4,66.7,Tier2,HOU,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Emeka Egbuka,WR,5,55.6,Tier2,TB,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Kyle Williams,WR,6,44.4,Tier2,NE,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Tre Harris,WR,7,33.3,Tier3,LAC,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Jack Bech,WR,8,22.2,Tier3,LV,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Luther Burden,WR,9,11.1,Tier3,CHI,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Colston Loveland,TE,1,100.0,Tier1,CHI,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Tyler Warren,TE,2,75.0,Tier1,IND,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Mason Taylor,TE,3,50.0,Tier2,NYJ,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Terrance Ferguson,TE,4,25.0,Tier3,LAR,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
Cam Ward,QB,1,100.0,Tier1,TEN,https://underdognetwork.com/football/fantasy-rankings/2025-fantasy-football-rankings-after-the-nfl-draft
