player_name,position,rank_pos,model_score,tier,nfl_team,source_url
Fernando Mendoza,QB,1,75,Tier 1 - Day 1 Starter (Size+Capital Bet),LVR,https://www.legendaryupside.com/can-fernando-mendoza-turn-around-the-raiders-2026-rookies-qbs-tiers-16/
Ty Simpson,QB,2,60,Tier 2 - Because the NFL Seems Interested,PIT,https://www.legendaryupside.com/can-fernando-mendoza-turn-around-the-raiders-2026-rookies-qbs-tiers-16/
Cole Payton,QB,3,45,Tier 3 - Live a Little,PHI,https://www.legendaryupside.com/can-fernando-mendoza-turn-around-the-raiders-2026-rookies-qbs-tiers-16/
Carson Beck,QB,4,40,Tier 4 (Implied),ARI,https://www.legendaryupside.com/can-fernando-mendoza-turn-around-the-raiders-2026-rookies-qbs-tiers-16/
Drew Allar,QB,5,35,Tier 4-5 (Implied),PIT,https://www.legendaryupside.com/can-fernando-mendoza-turn-around-the-raiders-2026-rookies-qbs-tiers-16/
Cade Klubnik,QB,6,30,Tier 5-6 (Implied),NYJ,https://www.legendaryupside.com/can-fernando-mendoza-turn-around-the-raiders-2026-rookies-qbs-tiers-16/
Jeremiyah Love,RB,1,99,Tier 1 - Nearly Generational (1.01 Consensus),ARI,https://www.legendaryupside.com/jeremiyah-loves-versatile-upside-2026-rookie-rbs-tiers-1-2/
Jadarian Price,RB,2,72,Tier 2 - Potential Exception (LU exception bet),SEA,https://www.legendaryupside.com/jeremiyah-loves-versatile-upside-2026-rookie-rbs-tiers-1-2/
Jonah Coleman,RB,3,62,Tier 3 - Wild Card,DEN,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Mike Washington Jr.,RB,4,58,Tier 3 - Wild Card (Athleticism Bet),LVR,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Nicholas Singleton,RB,5,55,Tier 3 - Wild Card,TEN,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Kaytron Allen,RB,6,42,Tier 4-5 (Implied),WAS,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Kaelon Black,RB,7,40,Tier 4-5 (Implied),SFO,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Demond Claiborne,RB,8,35,Tier 5 (Implied),MIN,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Emmett Johnson,RB,9,32,Tier 5-6 (Implied),KCC,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Adam Randall,RB,10,28,Tier 6 (Implied),BAL,https://www.legendaryupside.com/mike-washington-so-hot-right-now-2026-rookie-rbs-tiers-3-6/
Carnell Tate,WR,1,93,Tier 1 - Downfield Alpha,TEN,https://www.legendaryupside.com/carnell-tate-downfield-alpha-2026-rooke-wrs-tiers-1-2/
Makai Lemon,WR,2,87,Tier 2 - High-End Target Upside,PHI,https://www.legendaryupside.com/carnell-tate-downfield-alpha-2026-rooke-wrs-tiers-1-2/
KC Concepcion,WR,3,72,Tier 3 - Phenom or Fraudulent,CLE,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Omar Cooper Jr.,WR,4,68,Tier 4 - Round 1 Intrigue,NYJ,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Denzel Boston,WR,5,62,Tier 5 - Intriguing Traits,CLE,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Jordyn Tyson,WR,6,60,Tier 5-6 (Polarizing; Late 2nd),NOS,https://www.legendaryupside.com/2026-rookie-rankings/
De'Zhaun Stribling,WR,7,52,Tier 6 (Implied; Day 2 Capital),SFO,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Germie Bernard,WR,8,48,Tier 6 (Implied),PIT,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Malachi Fields,WR,9,42,Tier 6-7 (Implied),NYG,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Zachariah Branch,WR,10,38,Tier 7 (Implied),ATL,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Ja'Kobi Lane,WR,11,35,Tier 7 (Implied),BAL,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Caleb Douglas,WR,12,30,Tier 7 (Implied),MIA,https://www.legendaryupside.com/kc-concepcion-phenom-or-fraudulent-2026-rooke-wrs-tiers-3-7/
Kenyon Sadiq,TE,1,88,Tier 1 - Big Slot WRs (Athleticism+Capital),NYJ,https://www.legendaryupside.com/eli-stowers-tweener-or-cheat-code-2026-rookie-tes-tiers-1-2/
Eli Stowers,TE,2,82,Tier 1 - Big Slot WRs,PHI,https://www.legendaryupside.com/eli-stowers-tweener-or-cheat-code-2026-rookie-tes-tiers-1-2/
Eli Raridon,TE,3,55,Tier 2 - Post-Draft Dart Throws,NEP,https://www.legendaryupside.com/eli-stowers-tweener-or-cheat-code-2026-rookie-tes-tiers-1-2/
Max Klare,TE,4,48,Tier 2 - Post-Draft Dart Throws (Implied),LAR,https://www.legendaryupside.com/eli-stowers-tweener-or-cheat-code-2026-rookie-tes-tiers-1-2/
Oscar Delp,TE,5,40,Tier 2 - Post-Draft Dart Throws (Implied),NOS,https://www.legendaryupside.com/eli-stowers-tweener-or-cheat-code-2026-rookie-tes-tiers-1-2/
Justin Joly,TE,6,35,Tier 2 - Post-Draft Dart Throws (Implied),DEN,https://www.legendaryupside.com/eli-stowers-tweener-or-cheat-code-2026-rookie-tes-tiers-1-2/
