player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Caleb Williams,QB,1,90,Tier 1 - Top QB,CHI,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard's actual numerical ranks are DLF Premium subscriber-only. Score reflects directional consensus + known Howard methodology (age curve / draft capital weight)
Jayden Daniels,QB,2,85,Tier 1,WAS,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only. Howard's older-prospect skepticism may temper this slightly vs consensus
Drake Maye,QB,3,75,Tier 2,NEP,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
J.J. McCarthy,QB,4,55,Tier 3,MIN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Bo Nix,QB,5,38,Tier 4,DEN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard's age-weighted methodology likely fades Nix harder than consensus (older prospect)
Michael Penix Jr.,QB,6,28,Tier 4,ATL,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: similar age fade to Nix
Jonathon Brooks,RB,1,80,Tier 1 - Best in Class,CAR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only. Howard reportedly higher than consensus on Brooks pre-injury
Trey Benson,RB,2,62,Tier 2,ARI,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Bucky Irving,RB,3,55,Tier 2 - Author Lean,TBB,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard noted as analytics-leaning; Bucky's profile (early breakout) likely a Howard lean above consensus
Braelon Allen,RB,4,52,Tier 3,NYJ,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: WhipperSnapper friendly (broke out very young); likely Howard lean
MarShawn Lloyd,RB,5,42,Tier 3,GBP,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Blake Corum,RB,6,40,Tier 3 - Older Profile,LAR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard's age curve fades Corum (older prospect) vs consensus
Ray Davis,RB,7,35,Tier 4,BUF,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Audric Estime,RB,8,32,Tier 4,DEN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Jaylen Wright,RB,9,30,Tier 4,MIA,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Marvin Harrison Jr.,WR,1,99,Tier 1 - Generational,ARI,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only. MHJ unanimous
Malik Nabers,WR,2,95,Tier 1,NYG,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only. Howard's WhipperSnapper loves Nabers (very early breakout)
Rome Odunze,WR,3,85,Tier 2,CHI,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only. Older breakout - Howard may be below consensus
Brian Thomas Jr.,WR,4,80,Tier 2,JAX,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Xavier Worthy,WR,5,72,Tier 3 - WhipperSnapper Lean,KAN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard methodology loves Worthy (early breakout + KC landing)
Keon Coleman,WR,6,60,Tier 3,BUF,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Ladd McConkey,WR,7,55,Tier 3,LAC,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Adonai Mitchell,WR,8,48,Tier 4,IND,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Ricky Pearsall,WR,9,42,Tier 4,SFO,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Troy Franklin,WR,10,38,Tier 4 - Author Favorite,DEN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Jermaine Burton,WR,11,32,Tier 5 - Older Breakout,CIN,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: Howard's breakout-age methodology fades Burton below consensus
Brock Bowers,TE,1,99,Tier 1 - Generational,LVR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Ben Sinnott,TE,2,68,Tier 2,WAS,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Ja'Tavion Sanders,TE,3,52,Tier 3,CAR,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
Theo Johnson,TE,4,42,Tier 3,NYG,https://dynastyleaguefootball.com/author/peterhoward/,PAYWALL: directional only
