player_name,position,rank_pos,model_score,tier,nfl_team,source_url
Cam Ward,QB,1,80,Tier 1 - Boom/Bust,TEN,https://www.legendaryupside.com/how-high-is-cam-wards-ceiling-2025-rookies-qbs-tiers-1-3/
Jaxson Dart,QB,2,65,Tier 2 (Late 1st Worthy),NYG,https://www.legendaryupside.com/how-high-is-cam-wards-ceiling-2025-rookies-qbs-tiers-1-3/
Jalen Milroe,QB,3,60,Tier 2 (Late 1st Worthy),SEA,https://www.legendaryupside.com/how-high-is-cam-wards-ceiling-2025-rookies-qbs-tiers-1-3/
Shedeur Sanders,QB,4,52,Tier 3 - Capital Uncertainty,CLE,https://www.legendaryupside.com/how-high-is-cam-wards-ceiling-2025-rookies-qbs-tiers-1-3/
Tyler Shough,QB,5,40,Tier 3+ (Implied),NOS,https://www.legendaryupside.com/2025-rookie-rankings/
Ashton Jeanty,RB,1,99,Tier 1 - Legendary / Generational,LVR,https://www.legendaryupside.com/ashton-jeanty-generational-rookie-rbs-tiers-1-3/
Omarion Hampton,RB,2,85,Tier 2 - Day 1 Starter,LAC,https://www.legendaryupside.com/ashton-jeanty-generational-rookie-rbs-tiers-1-3/
TreVeyon Henderson,RB,3,75,Tier 3 - Day 2,NEP,https://www.legendaryupside.com/ashton-jeanty-generational-rookie-rbs-tiers-1-3/
Quinshon Judkins,RB,4,72,Tier 3 - Day 2,CLE,https://www.legendaryupside.com/ashton-jeanty-generational-rookie-rbs-tiers-1-3/
Kaleb Johnson,RB,5,68,Tier 3 - Day 2,PIT,https://www.legendaryupside.com/ashton-jeanty-generational-rookie-rbs-tiers-1-3/
RJ Harvey,RB,6,55,Tier 4 (Implied),DEN,https://www.legendaryupside.com/2025-rookie-rankings/
Cam Skattebo,RB,7,52,Tier 4 (Implied),NYG,https://www.legendaryupside.com/2025-rookie-rankings/
Bhayshul Tuten,RB,8,48,Tier 4-5 (Implied),JAX,https://www.legendaryupside.com/2025-rookie-rankings/
Dylan Sampson,RB,9,42,Tier 5 (Implied),CLE,https://www.legendaryupside.com/2025-rookie-rankings/
Jaydon Blue,RB,10,40,Tier 5 (Implied),DAL,https://www.legendaryupside.com/2025-rookie-rankings/
Travis Hunter,WR,1,95,Tier 1 - Proven Target Earner,JAX,https://www.legendaryupside.com/dear-travis-hunter-please-play-wr-2025-rookie-wrs-tiers-1-2/
Tetairoa McMillan,WR,2,88,Tier 1 - Proven Target Earner,CAR,https://www.legendaryupside.com/dear-travis-hunter-please-play-wr-2025-rookie-wrs-tiers-1-2/
Emeka Egbuka,WR,3,82,Tier 2 - Ceiling vs Floor,TBB,https://www.legendaryupside.com/dear-travis-hunter-please-play-wr-2025-rookie-wrs-tiers-1-2/
Matthew Golden,WR,4,75,Tier 2-3 (Late 1st),GBP,https://www.legendaryupside.com/2025-rookie-rankings/
Luther Burden III,WR,5,72,Tier 2-3 (Polarizing),CHI,https://www.legendaryupside.com/2025-rookie-rankings/
Jayden Higgins,WR,6,68,Tier 3 - Potential NFL Starter,HOU,https://www.legendaryupside.com/dont-sleep-on-jaylin-noel-rookie-wrs-tiers-3-5/
Tre Harris,WR,7,65,Tier 3 - Potential NFL Starter,LAC,https://www.legendaryupside.com/dont-sleep-on-jaylin-noel-rookie-wrs-tiers-3-5/
Jaylin Noel,WR,8,63,Tier 3 - Potential NFL Starter (Author Favorite),HOU,https://www.legendaryupside.com/dont-sleep-on-jaylin-noel-rookie-wrs-tiers-3-5/
Kyle Williams,WR,9,60,Tier 3 - Potential NFL Starter,NEP,https://www.legendaryupside.com/dont-sleep-on-jaylin-noel-rookie-wrs-tiers-3-5/
Jack Bech,WR,10,58,Tier 4 (Implied; Post-Draft Riser),LVR,https://www.legendaryupside.com/2025-rookie-rankings/
Tory Horton,WR,11,50,Tier 4-5 (Implied),SEA,https://www.legendaryupside.com/2025-rookie-rankings/
Pat Bryant,WR,12,45,Tier 5 (Implied),DEN,https://www.legendaryupside.com/2025-rookie-rankings/
Elic Ayomanor,WR,13,42,Tier 5 (Implied),TEN,https://www.legendaryupside.com/2025-rookie-rankings/
Tyler Warren,TE,1,90,Tier 1 - Immediate Contributor,IND,https://www.legendaryupside.com/harold-fannin-folk-hero-2025-rookie-tes-tiers-1-4/
Colston Loveland,TE,2,85,Tier 1 - Immediate Contributor,CHI,https://www.legendaryupside.com/harold-fannin-folk-hero-2025-rookie-tes-tiers-1-4/
Mason Taylor,TE,3,68,Tier 2,NYJ,https://www.legendaryupside.com/harold-fannin-folk-hero-2025-rookie-tes-tiers-1-4/
Harold Fannin Jr.,TE,4,60,Tier 3 (Folk Hero / Author Favorite),CLE,https://www.legendaryupside.com/harold-fannin-folk-hero-2025-rookie-tes-tiers-1-4/
Elijah Arroyo,TE,5,52,Tier 3-4 (Implied),SEA,https://www.legendaryupside.com/harold-fannin-folk-hero-2025-rookie-tes-tiers-1-4/
Terrance Ferguson,TE,6,45,Tier 4 (Implied),LAR,https://www.legendaryupside.com/harold-fannin-folk-hero-2025-rookie-tes-tiers-1-4/
