player_name,position,rank_pos,model_score,tier,nfl_team,source_url
Jeremiyah Love,RB,1,100.0,Generational,ARI,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Jadarian Price,RB,2,77.8,Tier2,SEA,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Mike Washington Jr.,RB,3,66.7,Tier3,LV,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Kaytron Allen,RB,4,55.6,Tier3,WAS,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Jonah Coleman,RB,5,44.4,Tier3,DEN,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Kaelon Black,RB,6,33.3,Tier3,SF,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Emmett Johnson,RB,7,22.2,Tier3,KC,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Nicholas Singleton,RB,8,11.1,Tier3,TEN,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Adam Randall,RB,9,5.6,Tier4,BAL,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Carnell Tate,WR,1,92.0,Tier1,TEN,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Jordyn Tyson,WR,2,96.0,Elite,NO,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Makai Lemon,WR,3,77.8,Tier2,PHI,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
KC Concepcion,WR,4,66.7,Tier2,CLE,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Antonio Williams,WR,5,55.6,Tier3,WAS,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Omar Cooper Jr.,WR,6,44.4,Tier3,NYJ,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
De'Zhaun Stribling,WR,7,33.3,Tier3,SF,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Chris Bell,WR,8,22.2,Tier3,MIA,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Denzel Boston,WR,9,11.1,Tier3,CLE,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Kenyon Sadiq,TE,1,66.7,Tier3,NYJ,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Eli Stowers,TE,2,33.3,Tier4,PHI,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Fernando Mendoza,QB,1,95.0,Tier1,LV,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Ty Simpson,QB,2,50.0,Tier3,LAR,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
Carson Beck,QB,3,25.0,Tier4,ARI,https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class
