player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Ashton Jeanty,RB,1,100.0,Tier1,LV,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,1.01 consensus; pick #6 overall; 2024: 2601 yds/30 TD
Cam Ward,QB,1,97.2,Tier1,TEN,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,QB1; #1 overall pick
Travis Hunter,WR,1,94.4,Tier1,JAX,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,WR1; #2 overall; dual-role uncertainty
Omarion Hampton,RB,2,91.7,Tier1,LAC,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,RB2; safest non-Jeanty pick
Tetairoa McMillan,WR,2,88.9,Tier1,CAR,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,WR2; pick #8; planetary catch radius
Colston Loveland,TE,1,86.1,Tier2,CHI,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,TE1; pick #10
Tyler Warren,TE,2,83.3,Tier2,IND,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,TE2; pick #14
TreVeyon Henderson,RB,3,80.6,Tier2,NE,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Quinshon Judkins,RB,4,77.8,Tier2,CLE,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Emeka Egbuka,WR,3,75.0,Tier2,TB,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,advanced slot; behind Godwin/McMillan
Matthew Golden,WR,4,72.2,Tier2,GB,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,pick #23; burner
Jaxson Dart,QB,2,69.4,Tier2,NYG,https://www.fantasypros.com/2025/04/dynasty-rookie-draft-rankings-fantasy-football-outlook-nfl/,QB2; behind Wilson/Winston Y1
Kaleb Johnson,RB,5,66.7,Tier3,PIT,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
RJ Harvey,RB,6,63.9,Tier3,DEN,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Jayden Higgins,WR,5,61.1,Tier3,HOU,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Tre Harris,WR,6,58.3,Tier3,LAC,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Luther Burden III,WR,7,55.6,Tier3,CHI,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Mason Taylor,TE,3,52.8,Tier3,NYJ,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Bhayshul Tuten,RB,7,50.0,Tier3,JAX,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Kyle Williams,WR,8,47.2,Tier3,NE,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-10-team-superflex-fantasy-football-picks/,
Elijah Arroyo,TE,4,44.4,Tier3,SEA,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Harold Fannin Jr.,TE,5,41.7,Tier4,CLE,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Terrance Ferguson,TE,6,38.9,Tier4,LAR,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Jalen Milroe,QB,3,36.1,Tier4,SEA,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Jack Bech,WR,9,33.3,Tier4,LV,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Shedeur Sanders,QB,4,30.6,Tier4,CLE,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Cam Skattebo,RB,8,27.8,Tier4,NYG,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Jaydon Blue,RB,9,25.0,Tier4,DAL,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Tyler Shough,QB,5,22.2,Tier4,NO,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Jaylin Noel,WR,10,19.4,Tier4,HOU,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Gunnar Helm,TE,7,16.7,Tier4,TEN,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Elic Ayomanor,WR,11,13.9,Tier4,TEN,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Dylan Sampson,RB,10,11.1,Tier4,CLE,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Jaylin Lane,WR,12,8.3,Tier5,WAS,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Jalen Royals,WR,13,5.6,Tier5,KC,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
Woody Marks,RB,11,2.8,Tier5,HOU,https://www.fantasypros.com/2025/05/dynasty-rookie-mock-draft-superflex-te-premium-fantasy-football-three-rounds/,
