player_name,position,rank_pos,model_score,tier,nfl_team,source_url,notes
Fernando Mendoza,QB,1,80,Tier 1 - R1 Capital,LVR,https://www.thefantasyfootballers.com/author/marvin_e/,QB tiering inferred from Footballers QB profile; not formal Range of Outcomes
Ty Simpson,QB,2,55,Tier 2,LAR,https://www.thefantasyfootballers.com/author/marvin_e/,Inferred from Footballers QB profile
Drew Allar,QB,3,42,Tier 3,PIT,https://www.thefantasyfootballers.com/author/marvin_e/,Inferred from Footballers QB profile
Cade Klubnik,QB,4,38,Tier 3,NYJ,https://www.thefantasyfootballers.com/author/marvin_e/,Inferred from Footballers QB profile
Carson Beck,QB,5,32,Tier 4,ARI,https://www.thefantasyfootballers.com/author/marvin_e/,Inferred from Footballers QB profile
Cole Payton,QB,6,28,Tier 4,PHI,https://www.thefantasyfootballers.com/author/marvin_e/,Inferred from Footballers QB profile
Darius Taylor,RB,1,92,Tier 1 - +90th Pct (PRE-DRAFT EARLY),UDF,https://www.thefantasyfootballers.com/dynasty/dynasty-report-an-early-look-at-the-2026-running-back-class-fantasy-football/,Most productive true freshman season since 2013; 2.27 SY/team play; 36% Minn prod; Elequin's early RB1 - PRE-DRAFT MODEL
Nicholas Singleton,RB,2,80,Tier 1 - +90th Pct (if R1 capital),TEN,https://www.thefantasyfootballers.com/dynasty/dynasty-report-an-early-look-at-the-2026-running-back-class-fantasy-football/,Leads class EPA/play (0.11); committee w/ Allen; received R5 - downgrade post-draft
Makhi Hughes,RB,3,72,Tier 2 - +80th Pct,UDF,https://www.thefantasyfootballers.com/dynasty/dynasty-report-an-early-look-at-the-2026-running-back-class-fantasy-football/,1.69 yds/team play; 1900+ yds after contact (3rd behind Jeanty/Hampton)
Jeremiyah Love,RB,4,90,Tier 1 - ~90th Pct (if R1 capital),ARI,https://www.thefantasyfootballers.com/dynasty/dynasty-report-an-early-look-at-the-2026-running-back-class-fantasy-football/,22.5% dominator; 0.16 EPA; sub-40th pct mkt share is red flag; got R1 (pick 3)
Jaydn Ott,RB,5,55,Tier 2 - Top-5 if Healthy,UDF,https://www.thefantasyfootballers.com/dynasty/dynasty-report-an-early-look-at-the-2026-running-back-class-fantasy-football/,94th/83rd pct freshman/soph; ankle recovery key; PRE-DRAFT
Jonah Coleman,RB,6,52,Tier 3 - 65th Pct,DEN,https://www.thefantasyfootballers.com/dynasty/dynasty-report-an-early-look-at-the-2026-running-back-class-fantasy-football/,25% dominator; 1.47 yds/team play (59th pct); 4.6 YAC; 35% missed tackle
Jordyn Tyson,WR,1,94,Tier 1 - 94th Pct,NOS,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-wide-receiver-class-fantasy-football/,99th pct EPA/Tgt (1.07) and Success Rate (70%); injury history main concern
Eric Singleton Jr.,WR,2,82,Tier 2 - 76-95th Pct,UDF,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-wide-receiver-class-fantasy-football/,Consistent 2.0+ rec yds per pass att; 90th pct efficiency / 62% success rate
Makai Lemon,WR,3,78,Tier 2 - Class 2nd Efficiency,PHI,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-wide-receiver-class-fantasy-football/,0.79 EPA/Tgt (2nd); 69% success rate (2nd); slot improvement trajectory
Carnell Tate,WR,4,75,Tier 2 - 94th Pct Career Success,TEN,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-wide-receiver-class-fantasy-football/,Career success rate 94th pct; ranked alongside BTJ/Nabers/McConkey
Eugene Wilson III,WR,5,65,Tier 3 - 2nd Exp-Adj Behind Tyson,UDF,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-wide-receiver-class-fantasy-football/,90th pct rec yds per team pass att 2024; recovering knee/hip injury
Antonio Williams,WR,6,40,Tier 4 - Sub-Elite Analytics,WAS,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-wide-receiver-class-fantasy-football/,36th pct EPA/Tgt; R1 WRs sub-80th pct hit 15.4% breakout rate
Jack Velling,TE,1,85,Tier 1 - Efficiency Leader,UDF,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-tight-end-class-fantasy-football/,Class leader Yds/Rec (13.9), EPA/Tgt (1.02), Success Rate (74%)
Eli Stowers,TE,2,82,Tier 1 - 93rd Pct,PHI,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-tight-end-class-fantasy-football/,93rd pct production among drafted TEs since 2013; D2 capital expected
Max Klare,TE,3,72,Tier 2 - 94th Pct Vol,LAR,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-tight-end-class-fantasy-football/,2.1 rec yds per team pass att (94th pct); benefits Ohio St system (transfer)
Justin Joly,TE,4,55,Tier 2 - Experience Leader,DEN,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-tight-end-class-fantasy-football/,Leads class exp-adj prod; 3rd EPA/Tgt (0.92)
Jack Endries,TE,5,48,Tier 3 - Efficiency Play,UDF,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-tight-end-class-fantasy-football/,71% EPA success rate (93rd pct); D2 capital upside
Terrance Carter Jr.,TE,6,40,Tier 3 - Versatile,UDF,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-tight-end-class-fantasy-football/,Top-3 efficiency metrics in class; transferred to Texas Tech
Kenyon Sadiq,TE,7,38,Tier 3 - Athletic,NYJ,https://www.thefantasyfootballers.com/analysis/dynasty-report-an-early-look-at-the-2026-tight-end-class-fantasy-football/,Not specifically scored in Elequin write-ups; included for cohort coverage; estimate from athletic + R1/R2 capital
